yanImljiva	Aspfsny	yanimljiv
sEbe	Pxsa	sebe
jA	Pp1-sn	ja
sam	Var1s	biti
znAla	Vmp-sf	znati
da	Cs	da
Oni	Pp3mpn	oni
tO	Pdsa	taj
rAde	Npmsn	rade
u	Sl	u
mOjoj	Agpfsly	moji
Ulici	Ncfsl	ulica
.	Z	.

a	Cc	a
dOle	Rgp	dole
tO	Pd-nsn	taj
na	Sa	na
prImer	Ncmsan	primer
ne	Qz	ne
rAde	Npmsn	rade
.	Z	.

Oni	Pp3mpn	oni
Imaju	Vmr3p	imati
ne	Qz	ne
znAm	Vmr1s	znati
za	Sa	za
kOji	Pisan	koji
tAčno	Rgp	tačno
prAznik	Ncmsn	praznik
.	Z	.

prAve	Agpfpny	prav
naprAve	Ncfpn	naprava
kao	Cs	kao
lOgorsku	Agpfsay	logorski
vAtru	Ncfsa	vatra
i	Cc	i
Onda	Rgp	onda
preskAču	Vmr3p	preskakati
ali	Cc	ali
ne	Qz	ne
sEćam	Vmr1s	sećati
se	Pxsa	sebe
stvArno	Rgp	stvarno
šta	Pi3n	što
je	Var3s	biti
tO	Pd-nsn	taj
bIlo	Vapn	biti
i	Cc	i
u	Sa	u
zAdnjih	Npmsan	zAdnjih
.	Z	.

trI	Mlc	tri
čEtri	Mlc	četiri
gOdine	Ncfpn	godina
vIše	Rgc	mnogo
ni	Cc	ni
tO	Pdsn	taj
nEma	Vmr3s	imati
.	Z	.

a	Cc	a
svEtog	Agpmsgy	svet
nIkolu	Ncmsg	Nikola
.	Z	.

za	Sa	za
svEtog	Agpmsayy	svet
nIkolu	Ncmsay	Nikola
.	Z	.

((?))	X	((?))
pa	Cc	pa
mOji	Ps1mpn	moj
u/	X	u/
mAmini	Aspmpny	mamin
u	Sl	u
sElu	Ncnsl	selo
tO	Pd-nsn	taj
jEst	Vcr3s	biti
((?))	X	((?))
slAve	Vmr3p	slaviti
.	Z	.

svEtog	Agpmsgy	svet
nIkolu	Ncmsg	Nikola
On	Pp3msn	on
je	Var3s	biti
bIo	Vmpm	biti
kAd	Cs	kad
je	Vcr3s	biti
.	Z	.

dAnas	Rgp	danas
je	Var3s	biti
četvRtak	Ncmsn	četvrtak
.	Z	.

u	Sa	u
Utorak	Ncmsan	utorak
je	Var3s	biti
bIo	Vapm	biti
svEti	Agpmsny	svet
nIkola	Npmsn	Nikola
tAj	Pdsn	taj
lEtnji	Agpmsny	letnji
.	Z	.

((?))	X	((?))
.	Z	.

i	Cc	i
slAva	Ncfsn	slava
.	Z	.

nIje	Var3s	biti
bIla	Vapf	biti
pOsna	Agpfsny	postan
.	Z	.

((?))	X	((?))
Onda	Rgp	onda
.	Z	.

pa	Cc	pa
jA	Pp1-sn	ja
sam	Var1s	biti
s	Si	sa
mAmom	Ncmsi	mam
na	Sa	na
prImer	Ncmsan	primer
konkrEtno	Rgp	konkretno
bIla	Vapf	biti
u	Sa	u
.	Z	.

nEdelju	Ncfsa	nedelja
pa	Cc	pa
smo	Var1p	biti
.	Z	.

sprEmale	Vmp-pf	spremati
tU	Rgp	tu
štA	Pi3n-n	što
je	Var3s	biti
bIlo	Vapn	biti
a	Cc	a
prAvile	Vmp-pf	praviti
smo	Var1p	biti
tOrtu	Ncfsa	torta
Ovde	Rgp	ovde
u	Sa	u
knjAževac	Npmsan	knjaževac
.	Z	.

a	Cc	a
bAba	Ncfsn	baba
i	Cc	i
dEda	Ncmsn	deda
su	Var3p	biti
pEkli	Vmpm	peći
prAse	Ncnsa	prase
.	Z	.

bAbe	Ncfpn	baba
je	Var3s	biti
mEsila	Vmpf	mesiti
kolAč	Ncmsan	kolač
.	Z	.

((?))	X	((?))
.	Z	.

štA	Pi3n-a	što
jOš	Rgp	još
Ima	Vmr3s	imati
.	Z	.

prEdjelo	Ncnsa	predelo
i	Cc	i
.	Z	.

i	Cc	i
slaAte	Vcp-sn	slaati
tO	Pd-nsn	taj
svE	Pi-nsn	sav
pravljeno	Appnsny	praviti
gOre	Rgp	gore
u	Sa	u
selO	Ncnsa	selo
.	Z	.

ne	Qz	ne
znAm	Vmr1s	znati
štA	Pi3n-a	što
jOš	Rgp	još
tU	Rgp	tu
mOgu	Vmr1s	moći
da	Cs	da
kAžem	Vmr1s	kazati
tAko	Rgp	tako
bAš	Rgp	baš
.	Z	.

((?))	X	((?))
u	Sa	u
cRkvu	Ncfsa	crkva
se	Pxsa	sebe
se	Pxsa	sebe
na	Sa	na
prImer	Ncmsn	primer
Ide	Vmr3s	ići
mI	Pp1-sd	ja
u	Sl	u
sElu	Npmsl	sEl
Idemo	Vmr1p	ići
kAd	Cs	kad
je	Var3s	biti
zAvećina	Ncfsn	zavećina
cElog	Agpnsgy	cel
sEla	Ncnsg	selo
za	Sa	za
tRojicu	Ncfsa	trojica
.	Z	.

i	Cc	i
gOre	Rgp	gore
.	Z	.

Idemo	Vmr1p	ići
u	Sa	u
Crkvu	Ncfsa	crkva
tO	Pd-nsn	taj
je	Var3s	biti
svEta	Agpfsny	svet
trOjica	Ncfsn	trojica
cRk/	Npmsn	cRk/
tO	Pdsn	taj
jEst	Var3s	biti
nIje	Var3s	biti
cRkva	Ncfsn	crkva
mAnastir	Ncmsn	manastir
je	Var3s	biti
.	Z	.

i	Cc	i
Ujutru	Rgp	ujutru
Idemo	Vmr1p	ići
da	Cs	da
se	Pxsa	sebe
pričEstimo	Vmr1p	pričestiti
i	Cc	i
da	Cs	da
.	Z	.

((?))	X	((?))
da	Cs	da
se	Px--sa	sebe
prčEstimo	Vmr1p	prčestiti
da	Cs	da
.	Z	.

da	Cs	da
ostAnemo	Vmr1p	ostati
tU	Rgp	tu
na	Sl	na
litUrgiji	Ncfsl	liturgija
i	Cc	i
.	Z	.

pOsle	Rgp	posle
Idemo	Vmr1p	ići
da	Cs	da
čEkamo	Vmr1p	čekati
gOste	Vmr3p	gostiti
.	Z	.

((?))	X	((?))
pa	Cc	pa
tA	Pdsn	taj
svEta	Agpfsny	svet
trOjica	Ncfsn	trojica
.	Z	.

i	Cc	i
bAš	Rgp	baš
je	Var3s	biti
sAd	Rgp	sad
u	Sa	u
nEdelju	Ncfsa	nedelja
.	Z	.

tO	Pdsn	taj
je	Var3s	biti
znAm	Vmr1s	znati
kOji	Pisn	koji
dAtum	Ncmsn	datum
.	Z	.

dvAdest	Npmsn	dvAdest
sEdmi	Mlomsn	sedmi
.	Z	.

pa	Cc	pa
ya	Vmr3s	ya
Uskrs	Npmsn	Uskrs
Isto	Agpnsny	isti
svE	Pi-nsn	sav
nOrmalno	Agpnsny	normalan
.	Z	.

jAja	Ncnpn	jaje
se	Px--sa	sebe
.	Z	.

fArbaju	Vmr3p	farbati
i	Cc	i
.	Z	.

Ono	Pd-nsn	onaj
pRvo	Rgp	prvo
na	Sa	na
