dObar	Agpmsnn	dobar
pričAli	Vmp-pm	pričati
štA	Pi3n-a	što
.	Z	.

i	Cc	i
takOj	Rgp	tako
.	Z	.

sAd	Rgp	sad
i	Cc	i
jA	Pp1-sn	ja
.	Z	.

Evo	I	evo
sAd	Rgp	sad
prImam	Vmr1s	primati
inEkcije	Ncfpa	inekcija
od	Sg	od
šEḱer	Ncmsan	šećer
.	Z	.

Evo	I	evo
səd	Rgp	sad
sam	Var1s	biti
stIgla	Vmp-sf	stići
iz	Sg	iz
((XXX))	X	((xxx))
štA	Pi3n-n	što
su	Var3p	biti
mi	Pp1-sd	ja
.	Z	.

i	Cc	i
takO	Rgp	tako
je	Var3s	biti
.	Z	.

ovdE	Rgp	ovde
mi	Pp1-sd	ja
je	Vcr3s	biti
sAd	Rgp	sad
ǵUrǵevdan	Mdc	ǵurǵevdan
.	Z	.

i	Cc	i
svetI	Agpmsny	svet
ǵOrǵa	Npmsn	ǵOrǵa
.	Z	.

pə	Cc	pa
sprEmimo	Vmr1p	spremiti
gOsti	Ncmpn	gost
ni	Cc	ni
dolaze	Vmr3p	dolaziti
takO	Rgp	tako
i	Cc	i
.	Z	.

er	Rgp	er
mI	Pp1-pn	ja
smo	Var1p	biti
sačuvAli	Vmp-pm	sačuvati
ovOga	Pd-msay	ovaj
stArca	Ncmsg	starac
.	Z	.

a	Cc	a
gOre	Rgp	gore
štO	Pi3n-n	što
je	Var3s	biti
.	Z	.

onO	Pd-nsa	onaj
gdEvo	Vmp-pm	gdeti
mOja	Ps1fsn	moj
mi	Pp1-sd	ja
snA	Ncmsg	snaja
.	Z	.

el	Qq	jel
mI	Pp1-pn	ja
smo	Var1p	biti
slavIli	Vmp-pm	slaviti
gOre	Rgp	gore
.	Z	.

svetI	Agpmsny	svet
vrAč	Ncmsn	vrač
i	Cc	i
takOj	Rgp	tako
a	Cc	a
ovdEkaj	Rgp	ovde
Eto	I	eto
ǵUrđevdAn	Npmsn	ǵUrđevdAn
i	Cc	i
svetI	Agpmsny	svet
ǵOrđu	Npmsn	ǵOrđu
.	Z	.

u	Sa	u
.	Z	.

u	Sa	u
leskOvac	Npmsan	leskOvac
u	Sa	u
onU	Pd-fsa	onaj
kUḱu	Ncfsa	kuća
gOre	Rgp	gore
gdE	Rgp	gde
mi	Pp1-sd	ja
je	Vcr3s	biti
snA	Ncfsn	snaja
sAd	Rgp	sad
.	Z	.

a	Cc	a
ovOj	Pd-nsn	ovaj
smo	Var1p	biti
mI	Pp1-pn	ja
sačuvAli	Vmp-pm	sačuvati
jednOga	Mlcmsay	jedan
stArca	Ncmsay	starac
.	Z	.

((?))	X	((?))
a	Cc	a
sAd	Rgp	sad
žIvite	Var2p	živeti
vI	Pp2-pn	vi
Ovde	Rgp	ovde
.	Z	.

((?))	X	((?))
mI	Pp1-pn	ja
.	Z	.

ma	I	ma
svekRva	Ncfsn	svekrva
mUž	Ncmsn	muž
ju	Pp3fsa	on
umrEl	Vmp-sm	umreti
.	Z	.

a	Cc	a
onA	Pp3fsn	on
se	Px--sd	sebe
udAde	Vma3s	udati
za	Sa	za
njeg	Pp3msa	on
i	Cc	i
dosElimo	Vmr1p	doseliti
se	Px--sa	sebe
tUj	Rgp	tu
.	Z	.

pa	Cc	pa
mI	Pp1-pn	ja
smo	Var1p	biti
gOr	Pd-nsn	gOr
svAl	Vmp-sm	svati
.	Z	.

tAmo	Rgp	tamo
je	Var3s	biti
na	Sa	na
mUža	Ncmsay	muž
mi	Pp1-sd	ja
kUḱa	Ncfsn	kuća
.	Z	.

a	Cc	a
ovdE	Rgp	ovde
na	Sa	na
tOga	Pdsg	taj
stArca	Ncmsg	starac
što	Cs	što
smo	Var1p	biti
ga	Pp3msa	on
sačuvAli	Vmp-pm	sačuvati
.	Z	.

što	Cs	što
se	Pxsa	sebe
mA	I	ma
svekRva	Ncfsn	svekrva
udAla	Vmpf	udati
za	Sa	za
njEga	Pp3msa	on
.	Z	.

i	Cc	i
njEg	Pp3msa	on
smo	Var1p	biti
sačuvAli	Vmp-pm	sačuvati
i	Cc	i
.	Z	.

ali	Cc	ali
On	Pp3msn	on
je	Var3s	biti
Umro	Vmp-sm	umreti
.	Z	.

ne	Qz	ne
znƏ	Pi3n-n	znƏ
ni	Cc	ni
jA	Pp1-sn	ja
Ima	Vmr3s	imati
.	Z	.

dEset	Mlc	deset
gOdin	Ncfpn	godina
.	Z	.

kOj	Pi3m-n	koji
umrEo	Vmp-sm	umreti
.	Z	.

pə	I	pa
.	Z	.

sUpu	Ncfsa	supa
sArme	Ncfsg	sarma
takvO	Pd-nsn	takav
.	Z	.

kolAči	Ncmpn	kolač
.	Z	.

i	Cc	i
.	Z	.

znAeš	Vmr2s	znati
šIrok	Agpmsnn	širok
ti	Pp2-sn	ti
.	Z	.

pa	Cc	pa
mesimo	Vmr1p	mesiti
dobOme	Qr	dobOme
.	Z	.

kolAč	Ncmsn	kolač
mEsimo	Vmr1p	mesiti
.	Z	.

onO	Pd-nsn	onaj
sAg	Rgp	sad
kupUju	Vmr3p	kupovati
kolAč	Ncmsan	kolač
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
smo	Var1p	biti
rAnije	Rgc	rano
mesIli	Vmp-pm	mesiti
.	Z	.

pa	Cc	pa
kakO	Cs	kako
etI	Vmp-sm	etti
takOj	Rgp	tako
lEbac	Ncmsn	hleb
i	Cc	i
.	Z	.

tUrimo	Vmr1p	turiti
nekI	Pi-mpn	neki
cvEt	Ncmsan	cvet
i	Cc	i
gotOvo	Rgp	gotovo
.	Z	.

pa	Cc	pa
((?))	X	((?))
.	Z	.

jA	Pp1-sn	ja
ne	Qz	ne
sEḱam	Pi3n-n	sEḱam
se	Px--sa	sebe
bAš	Qo	baš
ali	Cc	ali
.	Z	.

trEba	Vmr3s	trebati
da	Cs	da
je	Var3s	biti
bilA	Vapf	biti
trOjica	Ncfsn	trojica
.	Z	.

pa	Cc	pa
kakO	Cs	kako
Isto	Rgp	isto
se	Pxsa	sebe
sprEma	Vmr3s	spremati
sUpa	Ncfsn	supa
sArme	Ncfsg	sarma
.	Z	.

pečEnje	Ncnsn	pečenje
i	Cc	i
takvO	Pd-nsn	takav
.	Z	.

pa	Cc	pa
trOjica	Ncfsn	trojica
je	Var3s	biti
bilA	Vapf	biti
.	Z	.

pa	Cc	pa
dOle	Rgp	dole
kOd	Sg	kod
((?))	X	((?))
.	Z	.

kOd	Sg	kod
škOlu	Ncfsa	škola
što	Cs	što
se	Px--sa	sebe
Ide	Vmr3s	ići
pa	Cc	pa
prVao	Ncmsn	prvao
gOre	Rgp	gore
əli	Vmp-pm	əti
sAd	Rgp	sad
.	Z	.

tO	Pdsa	taj
drvO	Ncnsa	drvo
odsEkli	Vmp-pm	odseći
i	Cc	i
nEma	Vmr3s	imati
ni	Qo	ni
zApis	Ncmsan	zapis
ni	Qo	ni
nIšta	Pi3n-n	ništa
.	Z	.

pa	Cc	pa
izlazIli	Vmp-pm	izlaziti
dabOme	Qr	dabome
kOj	Pi3m-n	koji
slAvi	Vmr3s	slaviti
On	Pp3msn	on
.	Z	.

pə	Cc	pa
isEkli	Vmp-pm	iseći
ga	Pp3msa	on
odAvno	Rgp	odavno
vEć	Rgp	već
sEkli	Vmp-pm	seći
.	Z	.

i	Cc	i
srušIlo	Vmp-sn	srušiti
se	Px--sa	sebe
i	Cc	i
onI	Pp3mpn	oni
ga	Pp3msa	on
odsEkli	Vmp-pm	odseći
i	Cc	i
.	Z	.

pa	Cc	pa
Ima	Vmr3s	imati
al	Vmp-sm	al
.	Z	.

((XXX))	X	((xxx))
jednA	Mlcfsn	jedan
.	Z	.

pa	Cc	pa
tO	Pd-nsn	taj
je	Var3s	biti
dOle	Rgp	dole
kAd	Cs	kad
se	Px--sa	sebe
pOǵe	Ncfpn	poǵa
od	Sg	od
.	Z	.

p	Cc	pa
((?))	X	((?))
znAjete	Vmr2p	znati
gdE	Rgp	gde
((?))	X	((?))
.	Z	.

prodAvnica	Ncfsn	prodavnica
.	Z	.

ovdE	Rgp	ovde
.	Z	.

paš	Ncfpn	paa
Idete	Npfsg	Ideta
pa	Cc	pa
se	Px--sa	sebe
skrEne	Vmr3s	skrenuti
.	Z	.

((?))	X	((?))
lEvo	Rgp	levo
.	Z	.

i	Cc	i
pOǵe	Ncfpn	poǵa
se	Px--sa	sebe
mAlo	Vmp-sn	mati
i	Cc	i
onO	Pd-nsn	onaj
.	Z	.

pi	I	pi
pa	Cc	pa
kvO	Pi3n-n	kvo
se	Px--sa	sebe
sEḱam	Vmp-sf	seḱti
jA	Pp1-sn	ja
sam	Var1s	biti
bolovAla	Vmp-sf	bolovati
s	Si	sa
glAvu	Ncfsa	glava
i	Cc	i
svE	Pi-nsn	sav
sam	Var1s	biti
zaborIla	Vmp-sf	zaboraviti
.	Z	.

pa	Cc	pa
nezəm	Agpfsny	nezə
mAjka	Ncfsn	majka
mi	Pp1-sd	ja
Umrla	Vmp-sf	umreti
od	Sg	od
zapalEnje	Ncnsa	zapalenje
mOzak	Ncmsn	mozg
.	Z	.

i	Cc	i
pOses	Rgp	poses
šta	Pi3n-n	što
je	Var3s	biti
bIlo	Vapn	biti
ne	Qz	ne
znAm	Vmr1s	znati
kAd	Cs	kad
su	Var3p	biti
me	Pp1-sa	ja
terAli	Vmp-pm	terati
odOvde	Rgp	odavde
.	Z	.

sa	Si	sa
sanItet	Ncmsan	sanitet
jA	Pp1-sn	ja
nIsam	Var1s	biti
znAla	Vmp-sf	znati
uOpšte	Rgp	uopšte
gdE	Rgp	gde
sam	Var1s	biti
bIla	Vmp-sf	biti
.	Z	.

i	Cc	i
na	Sa	na
kOje	Pipa	koji
odelEnje	Ncnsa	odeljenje
.	Z	.

((cough))	X	((cough))
.	Z	.

pa	Cc	pa
jednO	Mlcnsn	jedan
pre	Sg	pre
dvE	Mlcf	dva
gOdin	Ncfpn	godina
.	Z	.

i	Cc	i
sAd	Rgp	sad
((?))	X	((?))
mAhom	Ncmsi	mah
zaborAljam	Agpmsnn	zaboraljam
svE	Pi-nsn	sav
.	Z	.

ša	I	ša
Eto	I	eto
ssə	Z	ssə
.	Z	.

živIm	Vmr1s	živeti
sAma	Agpfsny	sam
.	Z	.

znAješ	Vmr2s	znati
kakO	Cs	kako
je	Vcr3s	biti
.	Z	.

nEmam	Vmr1s	imati
nIkog	Vmr1s	nikuti
pOred	Sg	pored
mEne	Ncfpn	mena
.	Z	.

Ovaj	Pdsn	ovaj
snA	Ncfsn	snaja
mi	Pp1-sd	ja
onA	Pp3fsn	on
.	Z	.

kAd	Cs	kad
dOšla	Vmp-sf	doći
kAd	Cs	kad
ne	Qz	ne
dOšla	Vmp-sf	doći
onO	Pd-nsn	onaj
.	Z	.

sAmo	Rgp	samo
za	Sa	za
cigAre	Ncfpa	cigara
.	Z	.

po	Sa	po
selO	Ncnsa	selo
Ide	Npfsg	Ida
.	Z	.

da	Cs	da
nAjde	Vmr3s	naći
cigAre	Ncfpa	cigara
da	Cs	da
pUši	Vmr3s	pušiti
da	Cs	da
.	Z	.

inAče	Rgp	inače
.	Z	.

šta	Pi3n-a	što
pRvo	Rgp	prvo
rAdiš	Vmr2s	raditi
.	Z	.

pə	Cc	pa
štA	Pi3n-a	što
rAdim	Vmr1s	raditi
.	Z	.

nalOžim	Vmr1s	naložiti
vAtru	Ncfsa	vatra
.	Z	.

sprEmim	Vmr1s	spremiti
jElo	Vmp-sn	jesti
təkvO	Pi-nsn	təkvo
kAd	Cs	kad
.	Z	.

kadA	Rgp	kada
kakvO	Pi-nsn	kakav
Ima	Vmr3s	imati
i	Qo	i
.	Z	.

Ima	Vmr3s	imati
jednU	Mlcfsa	jedan
mAčku	Ncfsa	mačka
tAmo	Rgp	tamo
.	Z	.

sAmo	Rgp	samo
jednOga	Mlcmsay	jedan
mačkA	Ncmsay	mačak
Imam	Vmr1s	imati
nEmam	Vmr1s	imati
vIše	Rgc	mnogo
.	Z	.

pə	Cc	pa
štA	Pi3n-a	što
.	Z	.

