sEdnite	Agpmpay-t	sedn
.	Z	.

češmE	Qr	češmE
nego	Cc	nego
.	Z	.

na	Sa	na
dUvar	Ncmsan	duvar
češmIca	Npfsn	češmIca
pa	Cc	pa
.	Z	.

lAvor	Npmsn	Lavor
pa	Cc	pa
vodA	Ncfsn	voda
•	X	•
iz	Sg	iz
tOj	Pd-nsn	taj
pUštaš	Vmr2s	puštati
.	Z	.

našIpeš	Npmsn	našIpeš
.	Z	.

i	Cc	i
takOj	Rgp	tako
bilO	Vcp-sn	biti
.	Z	.

svAšta	Pi3n-n	svašta
bIlo	Vmp-sn	biti
••	X	••
u	Sl	u
živOtu	Ncmsl	život
.	Z	.

pa	Cc	pa
nesU	Ncmsl	nes
bIli	Vmp-pm	biti
Oni	Pp3mpn	oni
znAli	Vmp-pm	znati
da	Cs	da
smo	Var1p	biti
svI	Agpmpny	sav
.	Z	.

decA	Ncnpn	dete
sa	Si	sa
sEla	Vmp-sf	sesti
.	Z	.

za	Sa	za
tOj	Pd-nsa	taj
ali	Cc	ali
za	Sa	za
učEnje	Ncnsa	učenje
bIli	Vmp-pm	biti
za	Sa	za
nemirnOqu	Pipa	nemirnOqu
nAjviše	Rgs	mnogo
kƏd	Ncmsn	kəd
si	Px--sd	sebe
nEmiran	Agpmsnn	nemiran
•	X	•
bIe	Vmp-sm	biti
te	Pp2-sa	ti
.	Z	.

bIu	Cc	bIu
mUški	Agpmsny	muški
nAročito	Rgp	naročito
•	X	•
bIli	Vmp-pm	biti
.	Z	.

čUpaju	Vmr3p	čupati
za	Sa	za
Uši	Ncfsl	uš
učItelj	Ncmsn	učitelj
.	Z	.

takvO	Pd-nsn	takav
bilO	Vmp-sn	biti
•	X	•
sƏg	Rgp	sad
se	Px--sa	sebe
tOj	Pd-nsn	taj
ne	Qz	ne
smE	Vmr3s	smeti
.	Z	.

rabOti	Vmr3s	rabotati
.	Z	.

paa	Cc	pa
.	Z	.

gdE	Rgp	gde
qe	Vmr3s	qe
da	Cs	da
Idemo	Vmr1p	ići
na	Sa	na
strAnu	Ncfsa	strana
•	X	•
Eto	I	eto
kƏd	Ncmsn	kəd
otIdeš	I	otIdeš
u	Sa	u
prodAvnicu	Ncfsa	prodavnica
kƏd	Xf	kƏd
otIdeš	Xf	otIdeš
na	Sa	na
pIjac	Npmsay	pIjac
kƏd	Cc	kƏd
otIdeš	Qo	otIdeš
tI	Pp2-sn	ti
ne	Qz	ne
mOž	Vmr3s	moći
bAš	Qo	baš
.	Z	.

da	Cs	da
si	Px--sd	sebe
sAmo	Rgp	samo
.	Z	.

prIčaš	Vmr2s	pričati
•	X	•
mAlo	Rgp	malo
si	Px--sd	sebe
se	Px--sa	sebe
isprAvljaš	Vmr2s	ispravljati
.	Z	.

sAm	Var1s	biti
••	X	••
čUeš	Cs	čUeš
kAko	Cs	kako
ljUdi	Ncmpg	čovek
prIču	Ncfsa	priča
.	Z	.

i	Cc	i
takOj	Rgp	tako
.	Z	.

pa	Cc	pa
i	Cc	i
u	Sl	u
nIš	Ncfsl	nia
u	Sa	u
onO	Pd-nsa	onaj
pa	Cc	pa
s	Si	sa
kogA	Pq3n-n	tko
tOlko	Rgp	toliko
vrEvil	Vmp-sm	vreviti
.	Z	.

dObro	Rgp	dobro
imAle	Vmp-pf	imati
dve	Mlcf	dva
trI	Mlc	tri
ženE	Ncfsg	žena
tUj	Rgp	tu
u	Sl	u
sObu	Ncmsl	sob
səs	Si	sa
nji	Pp3-pa	oni
.	Z	.

Ono	Pd-nsn	onaj
si	Px--sd	sebe
jednA	Mlcfsn	jedan
bIle	Vmp-pf	biti
seljAnke	Ncfpn	seljanka
Edne	Npfsg	Edna
bIle	Vmp-pf	biti
si	Px--sd	sebe
tAm	Rgp	tamo
okolInu	Ncfsa	okolina
nIš	Vmr2s	niti
nEke	Pipa	neki
.	Z	.

i	Cc	i
takOj	Rgp	tako
bIlo	Vcp-sn	biti
.	Z	.

Oće	Var3s	hteti
si	Px--sd	sebe
•	X	•
i	Cc	i
decAva	Vmr1s	deovati
sƏd	Rgp	sad
jA	Pp1-sn	ja
Ete	I	eto
tUj	Rgp	tu
mi	Pp1-pn	ja
svE	Pi-nsn	sav
sedI	Vmr3s	sedeti
.	Z	.

štAp	Ncmsan	štap
•	X	•
ali	Cc	ali
jA	Pp1-sn	ja
jA	Pp1-sn	ja
rEknem	Vmr1s	reći
nEgde	Rgp	negde
tovAga	Mdc	tovaga
.	Z	.

One	Pp3fpn	oni
bAba	Ncfsn	baba
štA	Pi3n-a	što
si	Var2s	biti
rEkla	Vmp-sf	reći
•	X	•
pa	Cc	pa
rEko	Vmp-sm	reći
rEkla	Vmp-sf	reći
sam	Var1s	biti
tovAga	Npfsn	tovAga
a	Cc	a
vI	Pp2-pn	vi
nemOj	Vmm2s-y	moći
vI	Pp2-pn	vi
štAp	Ncmsn	štap
će	Var3s	hteti
vi	Pp2-pn	vi
mAma	Ncfsn	mama
svAgja	Npfsn	svAgja
.	Z	.

ako	Cs	ako
rEknete	Vmr2p	reći
takOj	Rgp	tako
kAko	Cs	kako
jA	Pp1-sn	ja
.	Z	.

i	Cc	i
mI	Pp1-pn	ja
će	Var3s	hteti
da	Cs	da
kAžemo	Vmr1p	kazati
štA	Pi3n-a	što
si	Var2s	biti
rEkla	Vmp-sf	reći
.	Z	.

pa	Cc	pa
rEko	Vma1s	reći
kažEte	Vmr2p	kazati
((laugh))	X	((laugh))
.	Z	.

jAo	I	jao
bOže	Npmsv	bog
.	Z	.

takOj	Rgp	tako
bilO	Vmp-sn	biti
.	Z	.

pa	Cc	pa
štO	Pi3n-n	što
znAm	Vmr1s	znati
jA	Pp1n	ja
sƏg	Rgp	sad
ne	Qz	ne
dAvu	Vmr3p	davati
na	Sa	na
dEcu	Ncnpa	dete
takOj	Rgp	tako
•	X	•
da	Cs	da
prIču	Ncfsa	priča
((laugh))	X	((laugh))
.	Z	.

prAe	Vmr3p	praviti
za	Sa	za
u	Sa	u
škOlu	Ncfsa	škola
.	Z	.

ne	Qz	ne
mOžeš	Vmr2s	moći
.	Z	.

da	Cs	da
prIčaš	Vmr2s	pričati
tAm	Rgp	tamo
.	Z	.

səs	Si	sa
učitEljice	Ncfpn	učiteljica
səs	Si	sa
•	X	•
nAstavnici	Ncmpn	nastavnik
səs	Si	sa
•	X	•
kao	Cs	kao
što	Cs	što
u	Sa	u
selO	Ncnsa	selo
prIčaš	Vmr2s	pričati
.	Z	.

mOra	Vmr3s	morati
da	Cs	da
prIču	Vcr2s	priču
decA	Ncnpn	dete
prAvilno	Rgp	pravilno
.	Z	.

kudE	Rgp	kuda
će	Var3s	hteti
mOru	Ncfsa	mora
•	X	•
ovEj	Pd-fpa	ovaj
nAše	Pp1mpa	naš
nesU	Var3p	biti
umejAle	Ncfpn	umejala
.	Z	.

nEsu	Var3p	biti
mOgle	Vmpf	moći
svA	Agpnpay	sav
slOva	Ncnpa	slovo
.	Z	.

da	Cs	da
potrevUju	Vmr3p	potrevuti
pa	Cc	pa
su	Vcr3p	biti
Išle	Vmp-pf	ići
kod	Sg	kod
.	Z	.

ovUj	X	ovUj
što	Cs	što
isprAvlja	Vmr3s	ispravljati
.	Z	.

što	Cs	što
Uči	Vmr3s	učiti
kakvO	Pi-nsn	kakav
gu	Pp3msa	on
zOvu	Vmr3p	zvati
nE	Qz	ne
znam	Vmr1s	znati
.	Z	.

o	I	o
bre	I	bre
zaborIla	Vmp-sf	zaboraviti
səm	Var1s	biti
.	Z	.

za	Sa	za
svAko	Agpnsay	svaki
slOvo	Ncnsa	slovo
i	Cc	i
onA	Pp3fsn	on
si	Px--sd	sebe
i	Cc	i
naučIla	Vmpf	naučiti
ženA	Ncfsn	žena
tAj	Pd-fsn	taj
to	Pdsa	taj
u	Sa	u
.	Z	.

kAko	Cs	kako
pOsle	Rgp	posle
kƏd	Vcp-sn	kti
provrevIle	Vmpf	provrevIle
svA	Pipn	sav
slOva	Ncnpn	slovo
One	Pp3fpn	oni
prIču	Ncfsa	priča
malOvo	Vmp-sn	maloti
pO	Sl	po
ne	Qz	ne
mOglo	Vmp-sn	moći
.	Z	.

da	Cs	da
••	X	••
bRže	Rgc	brzo
•	X	•
r	X	r
ne	Qz	ne
mOglo	Vmp-sn	moći
.	Z	.

pa	Cc	pa
je	Var3s	biti
Išlo	Vmp-sn	ići
za	Sa	za
r	X	r
Išlo	Vmp-sn	ići
pu	Ncfsa	pu
.	Z	.

kOlko	Pq-nsn	koliki
pUt	Ncmsn	put
.	Z	.

na	Sa	na
čAsovi	Ncmpn	čas
kod	Sg	kod
tUj	Rgp	tu
.	Z	.

te	Cc	te
sƏg	Rgp	sad
One	Pd-nsn	onaj
•	X	•
prIču	Ncfsa	priča
.	Z	.

lEpo	Rgp	lepo
razgovAru	Pd-nsn	razgovAru
•	X	•
svE	Pi-nsn	sav
.	Z	.

i	Cc	i
takOj	Rgp	tako
bilO	Vcp-sn	biti
.	Z	.

lEpo	Rgp	lepo
.	Z	.

jA	Pp1-sn	ja
bi	Vaa3s	biti
kakvO	Pi-nsn	kakav
bi	Vaa3s	biti
rabotIla	Vmp-sf	rabotati
dremAla	Vmpf	dremati
bi	Vaa3s	biti
.	Z	.

bIla	Vapf	biti
bi	Vaa3s	biti
mušIceve	Vmp-pm	mušiceti
ovdE	Rgp	ovde
.	Z	.

((XXX))	X	((xxx))
mi	Pp1-sd	ja
skutA	Ncfsn	skuta
nEgde	Rgp	negde
pisAljku	Ncfsa	pisaljka
lozAna	Npfsn	Lozana
.	Z	.

Idem	Vmr1s	ići
kod	Sg	kod
qUrke	Agpfsgy	qurki
sIpem	Ncfsg	sipea
vodIcu	Ncfsa	vodica
na	Sa	na
prAci	Agpfpay	praci
sIpem	Ncfpa	sipea
vodIcu	Ncfsa	vodica
.	Z	.

ali	Cc	ali
ne	Qz	ne
••	X	••
slAbo	Rgp	slabo
lEgam	Mdc	legam
dAnju	Rgp	danju
nE	Qz	ne
mogu	Vmr1s	moći
.	Z	.

jA	Pp1-sn	ja
i	Cc	i
•	X	•
Uveče	Rgp	uveče
spIm	Vmr1s	spati
səs	Si	sa
lEk	Npmsn	Lek
svE	Pi-nsn	sav
pIem	Vcp-sn	piti
lEk	Npmsn	Lek
.	Z	.

aali	Vmp-pm	aati
.	Z	.

ne	Qz	ne
mOg	Vmr1s	moći
dƏnju	Rgp	dənju
da	Cs	da
spIm	Vmr1s	spati
.	Z	.

i	Cc	i
k	X	k
nAročito	Agpnsny	naročit
kƏd	Ncnsn	kəd
je	Var3s	biti
onI	Pp3mpn	oni
nEma	Vmr3s	imati
.	Z	.

kƏd	Qo	kƏd
onI	Pp3mpn	oni
dOjdu	Vmr3p	doći
Ono	Pd-nsa	onaj
prIdvečer	Vmp-pm	pridvečti
nEgde	Rgp	negde
jA	Pp1-sn	ja
.	Z	.

lEgnem	Vmr1s	legnuti
pa	Cc	pa
drEmnem	Vmr1s	dremnuti
a	Cc	a
kƏd	Npmsn	kƏd
je	Var3s	biti
onI	Pp3mpn	oni
nEma	Vmr3s	imati
jA	Pp1-sn	ja
ne	Qz	ne
lEgam	Vmr1s	legati
dƏnju	Rgp	dənju
.	Z	.

sedIm	Vmr1s	sedeti
si	Px--sd	sebe
.	Z	.

ovdE	Rgp	ovde
•	X	•
kƏd	Ncmsn	kəd
jAko	Rgp	jako
Ovde	Rgp	ovde
žEga	Ncfsn	žega
jA	Pp1-sn	ja
si	Px--sd	sebe
sedIm	Vmr1s	sedeti
.	Z	.

u	Sl	u
sObu	Ncfsa	soba
•	X	•
ovA	Pdsn	ovaj
.	Z	.

pUštim	Vmr1s	pustiti
televIzor	Ncmsan	televizor
•	X	•
poglEdam	Vmr1s	pogledati
.	Z	.

ali	Cc	ali
i	Cc	i
ne	Qz	ne
vOlim	Vmr1s	voleti
tOlko	Rgp	toliko
ni	Qo	ni
televIzor	Ncmsan	televizor
.	Z	.

vOlim	Vmr1s	voleti
si	Px--sd	sebe
ovOj	Pd-nsn	ovaj
nEšto	Pi3n-n	nešto
starInsko	Agpnsny	starinski
kƏd	Ncnsn	kəd
je	Var3s	biti
vEsti	Vmn	vesti
da	Cs	da
čUjem	Vmr1s	čuti
.	Z	.

Ima	Vmr3s	imati
vOj	Ncmsan	voj
provadadžIe	Npfsg	provadadžIe
.	Z	.

da	Cs	da
čUjem	Vmr1s	čuti
((laugh))	X	((laugh))
Imaa	Npmsn	Imaa
((laugh))	X	((laugh))
te	Pp2-sa	ti
tOj	Pd-nsn	taj
takvO	Pd-nsn	takav
.	Z	.

pEsme	Ncfpn	pesma
nEgde	Rgp	negde
.	Z	.

jučEr	Rgp	juče
si	Px--sd	sebe
se	Px--sa	sebe
zarU	Ncfpn	zar
u	Sl	u
provodadžIe	Npfsl	provodadžIe
pa	Cc	pa
si	Px--sd	sebe
se	Px--sa	sebe
zaborI	Ncfpn	zabora
sIpem	Ncmsi	sip
na	Sa	na
pUijke	Agpfsay	puijki
vOdu	Ncfsa	voda
((laugh))	X	((laugh))
popIle	Vmp-pf	popiti
svE	Pi-nsn	sav
.	Z	.

i	Cc	i
takOj	Rgp	tako
.	Z	.

kAko	Cs	kako
kOe	Vmp-sm	koti
se	Px--sa	sebe
radElo	Vmp-sn	raditi
.	Z	.

nAmi	Npmpn	nAm
Edno	Agpnsny	edan
vrEme	Ncnsn	vreme
kƏd	Ncmsg	kə
səm	Var1s	biti
jA	Pp1-sn	ja
dOšla	Vmp-sf	doći
pa	Cc	pa
pOsle	Rgp	posle
.	Z	.

Idemo	Vmr1p	ići
u	Sa	u
pOlje	Ncnsa	polje
dOjdemo	Vmr1p	doći
Umorni	Agpmpny	umoran
.	Z	.

sEdnemo	Vmr1p	sesti
na	Sa	na
ona	Pp3fsn	on
onUj	Cc	onUj
kUqu	Ncfsa	kuća
smo	Var1p	biti
onAm	Rgp	onamo
živEli	Vmp-pm	živeti
ne	Qz	ne
ovdE	Rgp	ovde
ovAj	Pd-msn	ovaj
nE	Qz	ne
bilA	Vmp-sf	biti
.	Z	.

sEdnemo	Vmr1p	sesti
səs	Si	sa
•	X	•
mUža	Ncmsay	muž
.	Z	.

posedimO	Vmr1p	posediti
.	Z	.

večEramo	Vmr1p	večerati
i	Cc	i
jOš	Rgp	još
videlO	Vmp-sn	videti
mI	Pp1-pn	ja
si	Px--sd	sebe
lEgamo	Ncfpn	legama
.	Z	.

u	Sl	u
sEdam	Mlc	sedam
sAti	Ncmpg	sat
se	Px--sa	sebe
Uvek	Rgp	uvek
legAlo	Vmp-sn	legati
.	Z	.

a	Cc	a
u	Sl	u
pEt	Mlc	pet
se	Px--sa	sebe
ustajAlo	Vmp-sn	ustajati
.	Z	.

i	Cc	i
tOlko	Rgp	toliko
.	Z	.

i	Cc	i
takO	Rgp	tako
bilO	Vcp-sn	biti
.	Z	.

aa	Cc	a
.	Z	.

sƏg	Rgp	sad
sedIm	Vmr1s	sedeti
•	X	•
nEgde	Rgp	negde
do	Sg	do
dEset	Mlc	deset
sAti	Ncmpn	sat
sedIm	Vmr1s	sedeti
nEgde	Rgp	negde
ne	Qz	ne
sedIm	Vmr1s	sedeti
jA	Pp1-sn	ja
vIše	Rgc	mnogo
.	Z	.

izglEdam	Vmr1s	izgledati
•	X	•
sƏg	Rgp	sad
Ima	Vmr3s	imati
ovOj	Pd-nsn	ovaj
••	X	••
reprIze	Ncfpa	repriza
Ima	Vmr3s	imati
.	Z	.

poglEdam	Vmr1s	pogledati
••	X	••
si	Px--sd	sebe
nAše	Ps1nsn	naš
.	Z	.

lozAna	Npfsn	Lozana
si	Px--sd	sebe
u	Sa	u
ednU	Pd-fsa	ednU
sObu	Ncfsa	soba
glEda	Vmr3s	gledati
.	Z	.

jA	Pp1-sn	ja
si	Px--sd	sebe
u	Sa	u
drUgu	Mlofsa	drugi
.	Z	.

onA	Pp3fsn	on
glEda	Vmr3s	gledati
sErije	Ncfpa	serija
glEda	Vmr3s	gledati
jA	Pp1-sn	ja
•	X	•
ne	Qz	ne
glEdam	Vmr1s	gledati
.	Z	.

ne	Qz	ne
interesu	Ncmsd	interes
Ima	Vmr3s	imati
bAbe	Ncfpa	baba
kOe	Pi-nsa	koji
i	Cc	i
glEdu	Vmr3p	gleti
jA	Pp1-sn	ja
•	X	•
tOj	Pd-nsn	taj
ne	Qz	ne
vOlim	Vmr1s	voleti
.	Z	.

trEba	Vmr3s	trebati
čItaš	Vmr2s	čitati
bRzo	Rgp	brzo
trEba	Vmr3s	trebati
.	Z	.

jA	Pp1-sn	ja
si	Px--sd	sebe
nAše	Ps1nsn	naš
.	Z	.

rAdašina	Npmsay	rAdašin
milAšina	Npmsay	Milašin
štO	Cs	što
reklE	Vmp-pf	reći
mOe	Agpfpny	moi
unUke	Ncfpn	unuka
bAba	Ncfsn	baba
tI	Pp2-sd	ti
sAmo	Rgp	samo
radAšina	Mdc	radašina
i	Cc	i
milAšina	Npmsay	Milašin
glEdaš	Vmr2s	gledati
((laugh))	X	((laugh))
.	Z	.

jAo	I	jao
•	X	•
mOe	Px--sa	mOe
parIčke	Vmp-sn	paričti
.	Z	.

pa	Cc	pa
•	X	•
kakvO	Pi-nsn	kakav
qe	Qo	qe
drUgo	Mlonsa	drugi
Ajde	I	hajde
•	X	•
((laugh))	X	((laugh))
.	Z	.

a	Cc	a
i	Cc	i
rAdiša	Npmsn	Radiša
i	Cc	i
On	Pp3msn	on
si	Px--sd	sebe
poglEda	Vmr3s	pogledati
tOj	Pd-nsn	taj
sAmo	Rgp	samo
On	Pp3msn	on
ne	Qz	ne
smE	Vmr3s	smeti
tOlko	Rgp	toliko
ni	Cc	ni
da	Cs	da
glEda	Vmr3s	gledati
On	Pp3msn	on
vIše	Rgc	mnogo
mi	Pp1-sd	ja
slUša	Vmr3s	slušati
bolI	Vmr3s	boleti
ga	Pp3msa	on
•	X	•
Oko	Rgp	oko
.	Z	.

((XXX))	X	((xxx))
.	Z	.

ali	Cc	ali
mI	Pp1-pn	ja
u	Sa	u
ednU	Npfsa	Edna
sObu	Ncfsa	soba
sEdimo	Vmr1p	sedeti
u	Sa	u
dnEvnu	Agpfsay	dnevni
a	Cc	a
lozAna	Npfsn	Lozana
onA	Pp3fsn	on
gOre	Rgp	gore
prEde	Vmr3s	presti
u	Sa	u
ovEj	Pd-fpa	ovaj
sObe	Ncfpa	soba
i	Cc	i
.	Z	.

pUšti	Vmr3s	pustiti
drUgi	Mlompn	drugi
te	Cc	te
si	Px--sd	sebe
glEda	Vmr3s	gledati
sErie	Ncfpn	seria
.	Z	.

i	Cc	i
takOj	Rgp	tako
.	Z	.

el	Qq	jel
Ima	Vmr3s	imati
li	Qq	li
jOš	Rgp	još
negdE	Rgp	negde
Ovde	Rgp	ovde
da	Cs	da
da	Cs	da
Idu	Vmr3p	ići
•	X	•
il	Cc	ili
sAmo	Rgp	samo
svE	Pi-nsn	sav
kod	Sg	kod
mEn	Npmsn	mEn
i	Cc	i
kod	Sg	kod
bAba	Ncfpg	baba
Olgu	Npfsa	Olga
.	Z	.

il	Cc	ili
nagOre	Vmr3p	nagoriti
il	Cc	ili
ovAm	Rgp	ovamo
prEko	Sg	preko
((XXX))	X	((xxx))
.	Z	.

nagOre	Vmr3p	nagoriti
sokolOvica	Px--sa	sokolOvica
Ima	Vmr3s	imati
.	Z	.

aa	Cc	a
.	Z	.

a	Cc	a
sƏd	Rgp	sad
ovdEk	Rgp	ovde
vi	Pp2-pn	vi
.	Z	.

mOj	Ps1msn	moj
radIša	Npfsn	Radiša
dOvede	Vmr3s	dovesti
ovAj	Pd-msn	ovaj
•	X	•
komšIja	Ncmsn	komšija
.	Z	.

Ono	Pd-nsn	onaj
mu	Pp3msd	on
ženA	Ncfsn	žena
Ovde	Rgp	ovde
ispod	Sg	ispod
nAše	Ps1fsg	naš
((XXX))	X	((xxx))
.	Z	.

dOle	Rgp	dole
•	X	•
tudOtle	Ncnsn	tudotle
mu	Pp3msd	on
ženA	Ncfsn	žena
.	Z	.

Oni	Pp3mpn	oni
što	Cs	što
Imu	Vmr3p	imati
sušAru	Ncfsa	sušara
.	Z	.

za	Sa	za
slIve	Ncfpa	šljiva
.	Z	.

aa	Cc	a
al	Cc	ali
nEste	Vcr3s	biti
vI	Pp2-pn	vi
iz	Sg	iz
knjAževca	Npmsg	knjAževac
.	Z	.

a	Cc	a
odAkle	Rgp	odakle
ste	Var2p	biti
vI	Pp2-pn	vi
.	Z	.

fIno	Rgp	fino
•	X	•
a	Cc	a
si	Px--sd	sebe
Udata	Appnpny	udati
.	Z	.

nIsi	Vmr2s	biti
.	Z	.

pa	Cc	pa
ta	Cs	da
ha	I	ha
trEba	Vmr3s	trebati
to	Pd-nsa	taj
i	Cc	i
tOj	Pd-nsn	taj
.	Z	.

svE	Pi-nsa	sav
•	X	•
kudE	Rgp	kuda
će	Var3s	hteti
mOra	Ncfsn	mora
.	Z	.

pa	Cc	pa
•••	X	•••
ovdE	Rgp	ovde
ovdE	Rgp	ovde
.	Z	.

kod	Sg	kod
nAs	Pp1-pg	mi
((XXX))	X	((xxx))
torlAčki	Agpmsny	torlački
.	Z	.

dObro	Rgp	dobro
svUd	Rgp	svuda
.	Z	.

nEgde	Rgp	negde
.	Z	.

vIše	Rgc	mnogo
na	Sa	na
bUgarski	Agpmsayn	bugarski
prIču	Ncfsa	priča
nEgde	Rgp	negde
.	Z	.

Eve	I	evo
tAm	Rgp	tamo
po	Sl	po
tImočkava	Ncmsl	timočkav
sEla	Vmp-sf	sesti
dEbelica	Npfsn	dEbelica
štIpina	Npfsn	štIpina
Oču	Npfsn	Oču
nEču	Vmr3s	hteti
prIču	Ncfsa	priča
.	Z	.

kvO	Pi-nsn	kvo
ču	Var1s	hteti
Oču	Vmr1s	hteti
nEču	Vmr3s	hteti
.	Z	.

takOj	Rgp	tako
.	Z	.

p	Cc	pa
•••	X	•••
nE	Qz	ne
znam	Vmr1s	znati
de	Rgp	gde
pa	Cc	pa
kom	Ncmsn	kom
.	Z	.

u	Sl	u
tAj	Pd-fsn	taj
si	Px--sd	sebe
sEla	Vmp-sf	sesti
njI	Pp3-pa	oni
kam	Rgp	kad
njI	Pp3-pa	oni
kojA	Pipn	koji
su	Var3p	biti
.	Z	.

Oni	Pp3mpn	oni
••	X	••
prIču	Ncfsa	priča
((XXX))	X	((xxx))
.	Z	.

Eve	I	evo
piroqAni	Agpmsny	piroqani
i	Cc	i
Oni	Pp3mpn	oni
drUkše	Ncnsn	drugačije
prIču	Ncfsa	priča
.	Z	.

Ima	Vmr3s	imati
ovdE	Rgp	ovde
Edna	Npfsn	Edna
se	Px--sa	sebe
udAla	Vmpf	udati
••	X	••
na	Sa	na
mOu	Agpfsay	moi
unUku	Ncfsa	unuka
bAš	Rgp	baš
drugarIca	Ncfsn	drugarica
.	Z	.

pa	Cc	pa
dovEdu	Vmr3p	dovesti
detE	Ncnsa	dete
Ono	Pd-nsa	onaj
••	X	••
drUkše	Ncnsn	drugačije
prIča	Vmr3s	pričati
.	Z	.

kƏd	Npmsn	kƏd
se	Px--sa	sebe
zaprIča	Vmr3s	zapričati
.	Z	.

a	Cc	a
kao	Cs	kao
moEte	Ncfpn	moj
•	X	•
parIčke	Px--sa	parIčke
takvO	Pd-nsn	takav
i	Cc	i
onO	Pd-nsn	onaj
.	Z	.

pa	Cc	pa
prIča	Ncfsn	priča
grUkše	Vmr3s	gruksati
svE	Pi-nsn	sav
nekAko	Rgp	nekako
.	Z	.

a	Cc	a
One	Pd-fpn	onaj
pOsle	Rgp	posle
se	Pxsa	sebe
smEju	Vmr3p	smeti
bAba	Ncfsn	baba
Anka	Npfsn	Anka
ne	Qz	ne
Ume	Vmr3s	umeti
ni	Qo	ni
da	Cs	da
razgovAra	Vmr3s	razgovarati
lEpo	Rgp	lepo
.	Z	.

pa	Cc	pa
rEko	Vma1s	reći
ne	Qz	ne
Ume	Vmr3s	umeti
((laugh))	X	((laugh))
takO	Rgp	tako
ju	Pp3fsa	on
rEko	Vma1s	reći
ju	Pp3fsa	on
Uče	Vmr3p	učiti
njOjni	Npmpn	njOjn
.	Z	.

čUje	Vmr3s	čuti
onO	Pd-nsn	onaj
onI	Pp3mpn	oni
ga	Pp3msa	on
ne	Qz	ne
Uče	Vmr3p	učiti
onO	Pd-nsn	onaj
.	Z	.

ovAj	Pd-msn	ovaj
devoj	Ncmsn	devoj
devOjčeta	Ncnsg	devojče
mAti	Ncfsn	mati
im	Pp3-pd	oni
odOvde	Rgp	odavde
.	Z	.

i	Cc	i
onA	Pp3fsn	on
ga	Pp3msa	on
ne	Qz	ne
Uče	Vmr3p	učiti
ali	Cc	ali
i	Cc	i
onA	Pp3fsn	on
se	Px--sa	sebe
vEq	Px--sa	vEq
naučIla	Vmp-sf	naučiti
.	Z	.

pa	Cc	pa
i	Cc	i
onA	Pp3fsn	on
nEku	Pi-nsn	neki
rEč	Ncfsn	reč
si	Px--sd	sebe
mlAtne	Vmr3s	mlatnuti
.	Z	.

na	Sa	na
pIrotski	Agpmsayn	pirotski
.	Z	.

((cough))	X	((cough))
.	Z	.

i	Cc	i
takO	Rgp	tako
.	Z	.

a	Cc	a
što	Cs	što
ne	Qz	ne
mOg	Vmr1s	moći
tog	Pdsg	taj
tOga	Pdsg	taj
da	Cs	da
sƏznam	Qr	sƏznam
kO	Cc	kao
Ide	Vmr3s	ići
tOj	Pd-nsn	taj
bIl	Vmp-sm	biti
lepEnacət	Px--sa	lepEnacət
.	Z	.

onO	Pd-nsn	onaj
da	Cs	da
Ima	Vmr3s	imati
preko	Sg	preko
televizIu	Ncnsn	televiziu
mI	Pp1-pn	ja
bi	Vaa3p	biti
tOj	Pd-nsn	taj
gledAli	Vmp-pm	gledati
i	Cc	i
tƏg	Rgp	tako
bi	Vaa3s	biti
zapazIli	Vmp-pm	zapaziti
.	Z	.

a	Cc	a
Ono	Pd-nsn	onaj
nEma	Vmr3s	imati
i	Qo	i
mI	Pp1-pn	ja
nE	Qz	ne
znamo	Vmr1p	znati
kOj	Cs	kao
je	Var3s	biti
tƏg	Rgp	tako
bIl	Vmp-sm	biti
tOj	Pd-nsn	taj
.	Z	.

čovEk	Ncmsn	čovek
.	Z	.

pa	Cc	pa
poznAvam	Vmr1s	poznavati
ga	Pp3msa	on
ali	Cc	ali
bIl	Vmp-sm	biti
.	Z	.

pa	Cc	pa
Ono	Pd-nsn	onaj
nE	Qz	ne
znam	Vmr1s	znati
bAš	Qo	baš
de	Rgp	gde
ste	Var2p	biti
vI	Vmp-pm	vi
el	Qq	jel
tO	Pd-nsn	taj
.	Z	.

ovAj	Pd-msn	ovaj
radIšta	Ncmsn	radišta
se	Px--sa	sebe
zovE	Vmr3s	zvati
.	Z	.

što	Cs	što
vi	Pp2-pn	vi
dovEl	Vmp-sm	dovesti
.	Z	.

mIletić	Npfsn	Miletić
radIša	Npfsn	Radiša
.	Z	.

ljubIša	Npmsn	ljubiša
.	Z	.

pa	Cc	pa
On	Pp3msn	on
•	X	•
na	Sa	na
njegOve	Ps3mpa	njegov
kUqa	Mdm	kuqa
što	Cs	što
li	Qq	li
e	Px--sa	sebe
bIla	Vapf	biti
ovUde	Appfsny	ovuti
.	Z	.

al	Cc	ali
Ima	Vmr3s	imati
sAd	Rgp	sad
bRkovi	Ncmpn	brk
.	Z	.

tAj	Pd-fsn	taj
tUj	Rgp	tu
Ima	Vmr3s	imati
bRkovi	Ncmpn	brk
tO	Pd-nsn	taj
