desAnka	Npfsn	Desanka
tOlko	Rgp	toliko
đAvo	Ncfpn	đava
.	Z	.

tOj	Pd-nsn	taj
znAeš	Vmr2s	znati
.	Z	.

evE	I	evo
.	Z	.

jA	Pp1-sn	ja
.	Z	.

nesAm	Var1s	biti
.	Z	.

po	Sa	po
snaU	Ncfsa	snaha
dovEdo	Mdm	dovedo
pOsle	Rgp	posle
onA	Pp3fsn	on
znAe	Vmr3s	znati
.	Z	.

da	Cs	da
tkAe	Vmr3s	tkati
.	Z	.

te	Cc	te
tO	Pdsn	taj
je	Var3s	biti
te	Pp2-sa	ti
i	Cc	i
etO	I	eto
onA	Pp3fsn	on
otkA	Ncfsn	otka
.	Z	.

#da	Ncmsg	#d
si	Px--sd	sebe
tU	Rgp	tu
sAd	Rgp	sad
ce#	Vcr3s	cebiti
.	Z	.

satIsa	Npmsn	satIsa
s/	X	s/
satIska	Ncmsg	satisk
si	Px--sd	sebe
sa	Si	sa
dUljće	Ncfpn	duljća
.	Z	.

a	Cc	a
tEgaj	Rgp	tada
u	Sa	u
.	Z	.

penjAve	Ncfpn	penjava
((?))	X	((?))
tkAju	Vmr3p	tkati
.	Z	.

ž	Z	ž
devOjče	Ncnsn	devojče
tIja	Pd-msn	taj
.	Z	.

da	Cs	da
tekvO	Pd-nsn	takav
.	Z	.

od	Sg	od
tEgaje	Ncfsg	tegaja
mI	Pp1-pn	ja
.	Z	.

smo	Var1p	biti
tkAle	Vmp-pf	tkati
odAvna	Rgp	odavno
.	Z	.

prtenIce	Ncfpn	prtenica
tOj	Pd-nsn	taj
ne	Qz	ne
znAte	Vmr2p	znati
vI	Pp2-pn	vi
.	Z	.

prtenIce	Ncfpn	prtenica
.	Z	.

od	Sg	od
vLnu	Ncfsa	vuna
predEš	Vmr2s	presti
.	Z	.

pa	Cc	pa
izatkAeš	Qr	izatkAeš
.	Z	.

odnesEŠ	Vmr2s	odneti
u	Sl	u
oljAvicu	Npmsl	oljAvic
.	Z	.

da	Cs	da
se	Px--sa	sebe
iz	Sg	iz
.	Z	.

da	Cs	da
izli/	Agpfpny	izlii
izlj/	Ncfpn	izlja
izlUpaju	Vmr3p	izlupati
.	Z	.

tAm	Rgp	tamo
.	Z	.

pa	Cc	pa
donesEmo	Vmr1p	doneti
dOm	Vmp-sm	doti
.	Z	.

pa	Cc	pa
nam	Pp1-pd	mi
mužljEti	Vmp-sm	mužljetti
.	Z	.

pantalOne	Ncfpn	pantalone
skrOjve	Npfsg	skrOjva
.	Z	.

pri	Sl	pri
šnAjdera	Ncmpg	šnajder
odnesEmo	Vmr1p	odneti
pri	Sl	pri
š/	X	š/
.	Z	.

tAmo	Rgp	tamo
u	Sa	u
.	Z	.

skrOjmo	Vmr1p	skrojti
pantalOne	Ncfpa	pantalone
.	Z	.

da	Cs	da
nOsi	Vmr3s	nositi
tOj	Pd-nsn	taj
štO	Cs	što
je	Vcr3s	biti
nApred	Rgp	napred
.	Z	.

nosIli	Vmp-pm	nositi
su	Var3p	biti
mUžje	Ncnsa	muž
.	Z	.

odEre	Vmr3s	odrati
mu	Pp3msd	on
dUpe	Ncnsa	dupe
.	Z	.

nEma	Vmr3s	imati
gAće	Ncfpa	gaće
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

dok	Cs	dok
trIi	Qr	trIi
.	Z	.

i	Cc	i
tO	Pd-nsn	taj
je	Var3s	biti
a	Cc	a
sAg	Rgp	sad
.	Z	.

o	I	o
.	Z	.

da	Cs	da
tI	Pp2-sd	ti
da	Cs	da
tIja	Npfsn	Tija
navučEš	Vmr2s	navući
.	Z	.

pantalOne	Ncfpn	pantalone
debEle	Agpfpny	debeo
da	Cs	da
tI	Pp2-sd	ti
dEre	Vmr3s	derati
guzIcu	Ncfsa	guzica
.	Z	.

mEko	Rgp	meko
da	Cs	da
je	Vcr3s	biti
mEko	Rgp	meko
.	Z	.

((?))	X	((?))
tOj	Pd-nsn	taj
.	Z	.

batalImo	Vmr1p	bataliti
sAg	Rgp	sad
tOj	Pd-nsn	taj
se	Px--sa	sebe
ne	Qz	ne
nOsi	Vmr3s	nositi
.	Z	.

takvOj	Pd-nsn	takav
.	Z	.

pa	Cc	pa
sEćam	Vmr1s	sećati
se	Px--sa	sebe
.	Z	.

p	Cc	pa
onO	Pd-nsn	onaj
.	Z	.

tUrim	Vmr1s	turiti
.	Z	.

snovEm	Qr	snovEm
.	Z	.

tOj	Pd-nsn	taj
se	Px--sa	sebe
nO	Pd-nsn	onaj
.	Z	.

t/	X	t/
prvO	Rgp	prvo
pa	Cc	pa
tOje	Ncfpn	toja
za	Sa	za
prtenIcete	Npnsa	prtenIcete
etE	I	eto
tI	Pp2-sd	ti
kAžem	Vmr1s	kazati
.	Z	.

tOj	Pd-nsn	taj
smo	Var1p	biti
.	Z	.

s	Sg	sa
napredEmo	Vmr1p	napresti
pa	Cc	pa
.	Z	.

nabIjemo	Vmr1p	nabiti
kOlci	Ncmpn	kolac
.	Z	.

na	Sa	na
livAdu	Ncfsa	livada
.	Z	.

kudE	Rgp	kuda
e	I	e
rAm	Vmp-sm	rati
.	Z	.

pa	Cc	pa
Uzmem	Vmr1s	uzeti
pa	Cc	pa
snovEmo	Px--sa	snovEmo
snovEmo	Vmp-sm	snovemti
.	Z	.

u	Sa	u
kOlko	Pq-nsn	koliki
.	Z	.

ženEte	Ncfpa-t	žena
kAžu	Vmr3p	kazati
u	Sa	u
kOlko	Pq-nsn	koliki
čEljus1e	Ncfpl	čeljus
.	Z	.

pa	Cc	pa
u	Sa	u
pEt	Mlc	pet
.	Z	.

pa	Cc	pa
u	Sa	u
šEs	Mlc	šest
.	Z	.

pa	Cc	pa
u	Sa	u
kOlko	Pq-nsn	koliki
kAže	Vmr3s	kazati
.	Z	.

tO	Pd-nsn	taj
je	Vcr3s	biti
mAlko	Rgp	malko
.	Z	.

će	Var3s	hteti
se	Px--sa	sebe
urE1e	Ncfpn	ure1a
.	Z	.

Ajde	I	hajde
u	Sa	u
dEvet	Mlc	devet
.	Z	.

ako	Cs	ako
je	Var3s	biti
u	Sa	u
dEset	Mlc	deset
Onaj	Pd-msn	onaj
gUste	Agpfpny	gust
.	Z	.

pa	Cc	pa
poUbave	Px--sa	poUbave
će	Var3s	hteti
bUdu	Var3p	biti
.	Z	.

prtenIce	Ncfpn	prtenica
kad	Cs	kad
izatkAeš	Qr	izatkAeš
.	Z	.

da	Cs	da
tekvO	Pd-nsn	takav
je	Var3s	biti
.	Z	.

smo	Var1p	biti
rabotIle	Vmp-pf	rabotiti
.	Z	.

pa	Cc	pa
pOdnoš1e	Qr	pOdnoš1e
.	Z	.

dOlan	Npmsn	Dolan
nabOdeno	Appnsny	nabosti
na	Sa	na
na	Sl	na
brž/	Ncmpl	b
na	Sa	na
bRdljan	Npmsan	bRdljan
.	Z	.

zabEreš	Npmsn	zabEreš
je	Var3s	biti
ovAk	Rgp	ovako
onO	Pd-nsn	onaj
tIj/	Px--sa	tIj/
vI	Vmp-sn	vi
znAete	Vcr3s	bieti
tOj	Pd-nsn	taj
.	Z	.

na	Sa	na
brdIlata	Ncfsn-t	brdila
.	Z	.

tkAeš	Npmsn	tkAeš
.	Z	.

a	Cc	a
s	Si	sa
onO	Pd-nsa	onaj
djEte	Pi-nsn	djEte
.	Z	.

vrAžež	Mdc	vražež
dOle	Rgp	dole
.	Z	.

ne	Qz	ne
glEdaš	Vmr2s	gledati
onO	Pd-nsn	onaj
djEte	Pi-nsn	djEte
nEgo	Cc	nego
.	Z	.

s	Si	sa
onO	Pd-nsa	onaj
djEte	Pi-nsn	djEte
znAeš	Vmr2s	znati
.	Z	.

pRvo	Rgp	prvo
kad	Cs	kad
krOkneš	Px--sa	krOkneš
s	Si	sa
.	Z	.

sas	Si	sa
dEsnu	Agpfsay	desni
nOgu	Ncfsa	noga
krOkni	Qr	krOkni
.	Z	.

na	Sa	na
sredInu	Ncfsa	sredina
.	Z	.

i	Cc	i
onO	Pd-nsn	onaj
Opravna	Pi-nsn	Opravna
.	Z	.

znAeš	Vmr2s	znati
pOsle	Rgp	posle
tkAeš	Mdc	tkaeš
.	Z	.

da	Cs	da
tekvO	Pd-nsn	takav
etE	I	eto
sIne	Ncmsv	sin
.	Z	.

a	Cc	a
vI	Pp2-pn	vi
tOj	Pd-nsn	taj
nestE	Vcr3s	nestbiti
tkAle	Vmp-pf	tkati
.	Z	.

etO	I	eto
pRvo	Rgp	prvo
će	Var3s	hteti
tkAjete	Vmp-sm	tkajetti
.	Z	.

nEće	Var3s	hteti
da	Cs	da
vI	Pp2-pn	vi
mužjEti	Npmpn	mužjEt
nOse	Vmr3p	nositi
.	Z	.

pantalOne	Ncfpn	pantalone
da	Cs	da
im	Pp3-pd	oni
dEre	Vmr3s	derati
dUpe	Ncnsa	dupe
.	Z	.

ne	Qz	ne
bOjte	Pi3n-n	bOjte
se	Px--sa	sebe
.	Z	.

((laugh))	X	((laugh))
.	Z	.

kAkve	Pipn	kakav
ste	Var2p	biti
kakO	Cs	kako
mOž	Vmr3s	moći
da	Cs	da
bUdete	Xf	bUdete
takvEja	Xf	takvEja
?	Z	?
.	Z	.

evE	I	evo
.	Z	.

nasmEjane	Agpfpny	nasmejan
.	Z	.

e	I	e
pa	Cc	pa
t	Rgp	tu
etE	I	eto
si	Px--sd	sebe
kAza	Vma1s	kazati
tE	Pdpa	taj
sIne	Ncmsv	sin
.	Z	.

plEle	Vmp-pf	plesti
smo	Var1p	biti
.	Z	.

pa	Cc	pa
svE	Pi-nsn	sav
drUgo	Mlonsn	drugi
svE	Pi-nsn	sav
.	Z	.

ali	Cc	ali
nEje	Var3s	biti
imAlo	Vmp-sn	imati
ni	Qo	ni
marAme	Ncfpn	marama
.	Z	.

dOvoljno	Rgp	dovoljno
da	Cs	da
si	Px--sd	sebe
kUpimo	Vmr1p	kupiti
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
Uznemo	Vmr1p	uzeti
onI	Pp3mpn	oni
kočIna	Ncmsay	kočin
a	Cc	a
