desAnka	Npfsn	Desanka
tekvOj	Agpmsny	tekvoj
sInko	Ncmsn	sinko
bwlE	Npmsn	bwlE
.	Z	.

i	Cc	i
Uznu	Vmr3p	uzeti
.	Z	.

Oknu	Ncnsl	okno
.	Z	.

onO	Pd-nsn	onaj
kojA	Pisn	koji
ga	Pp3msa	on
nAđe	Vmr3s	naći
onA	Pp3fsn	on
ne	Qz	ne
.	Z	.

jAsn	Npmsn	jAsn
.	Z	.

si	Px--sd	sebe
se	Px--sa	sebe
ocEnim	Vmr1s	oceniti
sAma	Agpfsny	sam
.	Z	.

kad	Cs	kad
.	Z	.

ga	Pp3msa	on
nAjde	Vmr3s	naći
.	Z	.

Ona	Pp3fsn	on
ni	Qz	ni
jEdna	Mlcfsn	jedan
.	Z	.

nEje	Var3s	biti
slObodna	Agpfsny	slobodan
da	Cs	da
ga	Pp3msa	on
Uzne	Vmr3s	uzeti
.	Z	.

mAlečko	Rgp	malečko
tekvO	Pd-nsn	takav
ljIgavo	Rgp	ljigavo
da	Cs	da
ga	Pp3msa	on
.	Z	.

Odma	Rgp	odmah
dOji	Vmr3s	dojiti
.	Z	.

dOk	Cs	dok
se	Px--sa	sebe
ne	Qz	ne
o/	X	o/
.	Z	.

kUpe	Ncfpn	kupa
za	Sa	za
.	Z	.

okupAaše	Qr	okupAaše
.	Z	.

pa	Cc	pa
povIše	Rgc	mnogo
u	Sl	u
bežderAci	Ncfsl	bežderaca
.	Z	.

pElene	Ncfpn	pelena
.	Z	.

kakO	Cs	kako
.	Z	.

otAla	Ncfpn	otala
pa	Cc	pa
nE	Qz	ne
imAlo	Vmp-sn	imati
sIne	Ncmsv	sin
.	Z	.

pElene	Ncfpn	pelena
kako	Cs	kako
sAg	Rgp	sad
štO	Pq-nsn	što
Ima	Vmr3s	imati
.	Z	.

kakvE	Pipa	kakav
krpljAci	Npmpn	krpljAc
.	Z	.

#sIni#	Qr	#sIni#
.	Z	.

mOđe	Ncfpn	mođa
brIšemo	Vmr1p	brisati
.	Z	.

mAni	Vmm2s	manuti
se	Px--sa	sebe
skvI	Vmr3s	skviti
pešćirE	I	pešćirE
.	Z	.

a	Cc	a
tegAj	Rgp	tada
.	Z	.

mAni	Vmm2s	manuti
mAni	Vmm2s	manuti
.	Z	.

odAvne	Z	odAvne
kakvO	Pi-nsn	kakav
je	Var3s	biti
rabOteno	Appnsny	rabotiti
.	Z	.

pa	Cc	pa
u	Sa	u
Oknuše	Npfsa	Oknuše
ednU	Npfsa	Edna
bAbičku	Npfsa	bAbička
.	Z	.

Ajde	I	hajde
kAže	Vmr3s	kazati
.	Z	.

rodIlo	Vmp-sn	roditi
se	Px--sa	sebe
detE	Ncnsn	dete
.	Z	.

te	Cc	te
ga	Pp3msa	on
okUpete	Vmp-sm	okupetti
.	Z	.

evE	I	evo
.	Z	.

o	I	o
.	Z	.

sabrAše	Vma3p	sabrati
se	Px--sa	sebe
.	Z	.

sabrAše	Vma3p	sabrati
se	Px--sa	sebe
Ajde	I	hajde
.	Z	.

e	I	e
sAg	Rgp	sad
tOj	Pd-nsn	taj
.	Z	.

mOj	Ps1msn	moj
vOlju	Ncfsa	volja
tE	Cc	te
kad	Cs	kad
se	Px--sa	sebe
najdE	Vmr3s	naći
.	Z	.

milIvoj	Npmsn	Milivoj
sInat	Npmsn	sInat
.	Z	.

tUj	Rgp	tu
stAn	Ncmsn	stan
.	Z	.

smEj	Npmsn	Smej
.	Z	.

rAdos	Npmsn	Rados
.	Z	.

mUško	Agpnsny	muški
li	Qq	li
tO	Pd-nsn	taj
.	Z	.

a	Cc	a
e	I	e
znA	Vmr3s	znati
.	Z	.

je	Var3s	biti
znA	Agpfsny	zni
žEna	Ncfsn	žena
tE	Pp2-sa	ti
.	Z	.

otIde	Vma3s	otići
s	Si	sa
Ovce	Ncfpa	ovca
sIne	Ncmsv	sin
.	Z	.

ovčAr	Ncmsn	ovčar
.	Z	.

tOj	Pd-nsn	taj
.	Z	.

dUška	Npmsn	duško
.	Z	.

dUška	Npmsn	duško
tI	Pp2-sn	ti
ne	Qz	ne
znAš	Vmr2s	znati
.	Z	.

ni	Qo	ni
tI	Pp2-sn	ti
.	Z	.

otIde	Vma3s	otići
o	I	o
s	Si	sa
Ovce	Ncfpn	ovca
kakO	Cs	kako
jA	Pp1-sn	ja
štO	Pi3n-a	što
Idem	Vmr1s	ići
s	Si	sa
Ovce	Ncfpn	ovca
.	Z	.

otIde	Vma3s	otići
u	Sa	u
ovčAra	Ncmsay	ovčar
pa	Cc	pa
ju	Pp3fsa	on
upRlo	Vmp-sn	upreti
.	Z	.

mOra	Vmr3s	morati
da	Cs	da
rAđa	Vmr3s	rađati
.	Z	.

uzEće	Vmf3s	uzeti
Ona	Pp3fsn	on
.	Z	.

u	Sl	u
plAni	Ncfsl	plana
.	Z	.

s	Sg	sa
Ovce	Ncfpn	ovca
tOj	Pd-nsn	taj
da	Cs	da
vIdiš	Vmr2s	videti
.	Z	.

onO	Pd-nsn	onaj
j	Var3s	biti
upRlo	Vmp-sn	upreti
onA	Pp3fsn	on
se	Px--sa	sebe
mučIla	Vmp-sf	mučiti
ženA	Ncfpg	žena
.	Z	.

pa	Cc	pa
mOta	Vmr3s	motati
.	Z	.

kad	Cs	kad
nasIli	Vmp-pm	nasiti
neštO	Pi3n-a	nešto
.	Z	.

mOra	Vmr3s	morati
se	Px--sa	sebe
jAvlja	Vmr3s	javljati
.	Z	.

onA	Pp3fsn	on
uz/	Vcp-sf	uti
.	Z	.

uzEla	Vmp-sf	uzeti
.	Z	.

#kvrčAla#	Agpfpny	#kvrčalai
Ovce	Ncfpn	ovca
.	Z	.

pa	Cc	pa
svE	Pi-nsn	sav
preblizivAla	Vmp-sf	preblizivati
.	Z	.

blI	Npmpn	bl
za	Sa	za
dOm	Ncmsan	dom
.	Z	.

#dAj#	Qr	#dAj#
.	Z	.

i	Cc	i
onO	Pd-nsn	onaj
se	Px--sa	sebe
.	Z	.

rodIlo	Vmp-sn	roditi
devOjče	Ncnsn	devojče
.	Z	.

ali	Cc	ali
je	Var3s	biti
imAla	Vmpf	imati
u	Sl	u
plAni	Ncfsl	plana
.	Z	.

Ona	Pp3fsn	on
Uzne	Vmr3s	uzeti
.	Z	.

bebEto	Qr	bebEto
.	Z	.

pa	Cc	pa
imAla	Vmp-sf	imati
većIn	Pi-msn	većIn
prestIlku	Npmsd	prestIlk
je	Var3s	biti
.	Z	.

kacElju	Rgp	kacelju
ovA	Pd-fsn	ovaj
kako	Cs	kako
jA	Pp1-sn	ja
tO	Pdsn	taj
zovEm	Vmr1s	zvati
.	Z	.

onA	Pp3fsn	on
Uzne	Vmr3s	uzeti
pa	Cc	pa
ga	Pp3msa	on
tUri	Vmr3s	turiti
u	Sa	u
prestIlku	Ncfsa	prestilka
.	Z	.

da	Cs	da
vI	Pp2-pn	vi
•	X	•
kazUjem	Vmr1s	kazivati
•	X	•
tOj	Pd-nsn	taj
.	Z	.

Uzne	Vmr3s	uzeti
pa	Cc	pa
ga	Pp3msa	on
.	Z	.

tUri	Vmr3s	turiti
u	Sl	u
prestIlku	Npmsl	prestIlk
i	Cc	i
donesE	Vmr3s	doneti
ga	Pp3msa	on
dOm	Ncmsn	dom
.	Z	.

i	Cc	i
dokAra	Pd-fpn	dokAra
Ovce	Ncfpn	ovca
.	Z	.

dokarAla	Vmp-sf	dokarati
tekA	Rgp	tako
.	Z	.

((?))	X	((?))
nEčisto	Agpnsny	nečist
Ono	Pd-nsn	onaj
svE	Pi-nsn	sav
.	Z	.

al	Cc	ali
mOra	Vmr3s	morati
da	Cs	da
se	Pxsa	sebe
#pri#	Vmr3s	#pri#ti
kudE	Rgp	kuda
će	Var3s	hteti
.	Z	.

dokarAla	Vmp-sf	dokarati
i	Cc	i
zatvorIla	Vmpf	zatvoriti
ovcEte	Ncfpa-t	ovca
.	Z	.

i	Cc	i
unEla	Vmpf	uneti
bebE	Ncfpa	beba
.	Z	.

tekA	Rgp	tako
nEčisto	Rgp	nečisto
nEma	Vmr3s	imati
kOj	Pi3m-n	koji
da	Cs	da
j	Var3s	biti
.	Z	.

da	Cs	da
g	Pp3msa	on
srEdne	Vmp-pm	sredti
.	Z	.

i	Cc	i
tUrila	Vmpf	turiti
vOdu	Ncfsa	voda
.	Z	.

njEga	Pp3msa	on
mEtnula	Vmp-sf	metnuti
u	Sa	u
sObu	Ncfsa	soba
.	Z	.

ta	Cs	da
omeknUlo	Vmp-sn	omeknuti
vodA	Ncfsn	voda
.	Z	.

onA	Pp3fsn	on
uzEla	Vmp-sf	uzeti
.	Z	.

i	Cc	i
okUpala	Vmpf	okupati
ga	Pp3msa	on
onA	Pp3fsn	on
si	Px--sd	sebe
svE	Pi-nsn	sav
kazUje	Vmr3s	kazivati
.	Z	.

i	Cc	i
kA	Cs	kad
su	Var3p	biti
pOču	Vma3s	počuti
ta	Cs	da
kazUje	Vmr3s	kazivati
pa	Cc	pa
se	Px--sa	sebe
smejE	Vmr3s	smejati
.	Z	.

pa	Cc	pa
ga	Pp3msa	on
okupA	Vmr3s	okupati
kAže	Vmr3s	kazati
pa	Cc	pa
u	Sa	u
.	Z	.

savI	Npfsd	Sava
.	Z	.

ta	Cs	da
ga	Pp3msa	on
povI	Var1s	poviti
našlA	Vmp-sf	naći
si	Px--sd	sebe
.	Z	.

u	Sa	u
dOm	Ncmsan	dom
.	Z	.

uzEla	Vmp-sf	uzeti
te	Cc	te
ga	Pp3msa	on
podojIla	Vmp-sf	podojiti
.	Z	.

tEgaj	Rgp	tada
.	Z	.

tEte	Ncfpn	teta
takvO	Pd-nsn	takav
je	Var3s	biti
rabotIla	Vmp-sf	rabotati
.	Z	.

kakO	Cs	kako
stOka	Ncfsn	stoka
.	Z	.

kUde	Rgp	kuda
ga	Pp3msa	on
.	Z	.

snašlO	Vmp-sn	snaći
onO	Pd-nsn	onaj
tUj	Rgp	tu
ga	Pp3msa	on
istrEslo	Vmp-sn	istresti
.	Z	.

i	Cc	i
mOra	Vmr3s	morati
da	Cs	da
ga	Pp3msa	on
pribIra	Vmr3s	pribirati
.	Z	.

onO	Pd-nsn	onaj
.	Z	.

tekvO	Pd-nsn	takav
je	Var3s	biti
odšjEro	Npmsn	odšjEro
.	Z	.

a	Cc	a
sAg	Rgp	sad
.	Z	.

aako	Pq	aako
ne	Qz	ne
Ide	Vmr3s	ići
pri	Sl	pri
lekAra	Ncmsay	lekar
.	Z	.

jA	Pp1-sn	ja
jednO	Mlcnsn	jedan
sam	Var1s	biti
očuvAla	Vmp-sf	očuvati
.	Z	.

jA	Pp1-sn	ja
s	Si	sa
ju	Pp3fsa	on
.	Z	.

((?))	X	((?))
mojE	Npnsn	mojE
tAm	Rgp	tamo
u	Sl	u
drUgu	Mlofsa	drugi
sObu	Ncfsa	soba
.	Z	.

jA	Pp1-sn	ja
si	Px--sd	sebe
sAma	Agpfsny	sam
.	Z	.

i	Cc	i
mUž	Ncmsn	muž
.	Z	.

u	Sl	u
sObu	Ncfsa	soba
.	Z	.

detE	Ncnsn	dete
se	Px--sa	sebe
rOdi	Vmr3s	roditi
.	Z	.

nEma	Vmr3s	imati
bAbe	Ncfpa	baba
nEma	Vmr3s	imati
.	Z	.

dEde	Ncmsg	deda
nEma	Vmr3s	imati
nIšta	Pi3n-n	ništa
.	Z	.

kad	Cs	kad
je	Var3s	biti
rEđeno	Appnsny	rediti
t	Rgp	tu
onO	Pd-nsn	onaj
s	Si	sa
.	Z	.

se	Pxsa	sebe
je	Var3s	biti
rOdi	Vmr3s	roditi
bez	Sg	bez
i	Cc	i
lekAri	Ncmpn	lekar
.	Z	.

sIgurno	Rgp	sigurno
odAvno	Rgp	odavno
.	Z	.

svE	Pi-nsn	sav
pri	Sl	pri
lekAri	Npmpn	lekAr
.	Z	.

svE	Pi-nsn	sav
tOj	Pd-nsn	taj
.	Z	.

rOzi	Ncmpn	rog
po	Sl	po
krAji	Ncfsl	kraja
štAta	Cs	štAta
kakO	Cs	kako
kUčka	Ncfsn	kučka
.	Z	.

kvO	Pr-nsn	kvo
da	Cs	da
sam	Var1s	biti
?	Z	?
.	Z	.

pa	Cc	pa
nesWm	Vmr1s	neswti
ne	Qz	ne
znAm	Vmr1s	znati
.	Z	.

mOže	Vmr3s	moći
da	Cs	da
sam	Agpmsnn	sam
a	Cc	a
.	Z	.

a	Cc	a
sam	Var1s	biti
zabOrila	Vmp-sf	zaboraviti
kadA	Rgp	kada
je	Var3s	biti
tOj	Pd-nsn	taj
bilO	Vcp-sn	biti
.	Z	.

a	Cc	a
swm	Px--sa	swm
mOž	Vmr3s	moći
swm	Ncmsan	swm
i	Cc	i
.	Z	.

i	Cc	i
pojAla	Vmp-sf	pojati
mOža	Rgp	možda
li	Qq	li
.	Z	.

zaborIla	Vmp-sf	zaboraviti
swm	Npmsi	s
.	Z	.

nEje	Vcr3s	biti
jednO	Rgp	jedno
sIne	Ncmsv	sin
.	Z	.

a	Cc	a
?	Z	?
.	Z	.

ja	Pp1-sn	ja
ne	Qz	ne
z/	X	z/
zabirAm	Vmr1s	zabirati
.	Z	.

e	I	e
nesAm	Var1s	biti
.	Z	.

ne	Qz	ne
znAm	Vmr1s	znati
nesAm	Var1s	biti
.	Z	.

((cough))	X	((cough))
.	Z	.

ali	Cc	ali
vodA	Ncfsn	voda
va	Appfsny	va
ne	Qz	ne
ne	Qz	ne
Ide	Vmr3s	ići
nEkako	Rgp	nekako
.	Z	.

ne	Qz	ne
dobrA	Agpfsny	dobar
vodAta	Npfsn	vodAta
.	Z	.

žEžka	Qr	žEžka
.	Z	.

e	I	e
da	Cs	da
je	Var3s	biti
sAg	Rgp	sad
onAj	Pd-msn	onaj
odOz	Cs	odOz
štO	Cs	što
.	Z	.

pri	Sl	pri
.	Z	.

nAs	Npmsn	nAs
onAj	Pd-msn	onaj
dolAzi	Vmr3s	dolaziti
.	Z	.

kOj	Pi3m-n	koji
znAe	Vmr3s	znati
gdE	Rgp	gde
.	Z	.

uz	Sa	uz
bAbin	Agpmsann	babin
zUb	Ncmsan	zub
.	Z	.

nEka	Cs	neka
sIne	Ncmsv	sin
tEka	Rgp	tako
.	Z	.

evE	I	evo
sAmo	Rgp	samo
da	Cs	da
mi	Pp1-sd	ja
mAnu	Ncfsa	mana
.	Z	.

tresU	Vmr3p	tresti
mi	Pp1-pn	ja
se	Px--sa	sebe
tO	Pd-nsn	taj
((XXX))	X	((xxx))
.	Z	.

#ćEkam	Npmsn	#ćEkam
tO	Pd-nsn	taj
pojastIne#	Pi-nsn	pojastIne#
.	Z	.

išlA	Vmp-sf	ići
sam	Var1s	biti
.	Z	.

gOr	I	gOr
u	Sa	u
bAbin	Agpmsayn	babin
zUb	Ncmsan	zub
znAeš	Vmr2s	znati
?	Z	?
.	Z	.

sIgurno	Rgp	sigurno
znAeš	Vmr2s	znati
tI	Pp2-sn	ti
.	Z	.

đavOl	Ncmsn	đavo
si	Px--sd	sebe
golEmi	Agpmpny	golem
tI	Pp2-sn	ti
.	Z	.

išlA	Vmp-sf	ići
si	Px--sd	sebe
.	Z	.

bAbin	Pq-nsn	bAbin
zUb	Cs	zUb
štO	Cs	što
Ima	Vmr3s	imati
vOda	Ncfsn	voda
le	I	le
.	Z	.

onO	Pd-nsn	onaj
bljUje	Vmr3s	bljuvati
.	Z	.

Iza	Sg	iza
zEm	Ncmsan	zem
.	Z	.

paa	Cc	pa
.	Z	.

Uznemo	Vmr1p	uzeti
mOtku	Ncfsa	motka
.	Z	.

golEmu	Agpfsay	golem
mOtku	Ncfsa	motka
dRvo	Ncnsa	drvo
.	Z	.

a	Cc	a
onO	Pd-nsn	onaj
rUpa	Ncfsn	rupa
.	Z	.

pa	Cc	pa
kakO	Cs	kako
Ide	Vmr3s	ići
vOdata	Vcf3s	vodati
onO	Pd-nsn	onaj
ječI	Vmr3s	ječati
.	Z	.

ječI	Vmr3s	ječati
otUlek	Rgp	otulek
iz	Sg	iz
zEm	Ncmsan	zem
.	Z	.

vI	Pp2-pn	vi
Uznemo	Vmr1p	uzeti
.	Z	.

Uznemo	Vmr1p	uzeti
dRvo	Ncnsa	drvo
.	Z	.

pa	Cc	pa
u	Sa	u
u	Sl	u
rUputu	Npmsl	rUput
.	Z	.

mUnemo	Vmr1p	munuti
.	Z	.

onO	Pd-nsn	onaj
Ide	Vmr3s	ići
drvOto	Ncfpa	drvo
Ide	Npfsg	Ida
Ide	Npfsg	Ida
Ide	Npfsg	Ida
.	Z	.

tOj	Pd-nsn	taj
#tLdvina"	Pi-msn	#tLdvina"
je	Vcr3s	biti
Opasna	Npfsn	Opasna
.	Z	.

ali	Cc	ali
mlEd	Npmsn	mlEd
.	Z	.

tOj	Pd-nsn	taj
ne	Qz	ne
mOž	Vmr3s	moći
da	Cs	da
pIješ	Vmr2s	piti
.	Z	.

tAj	Pd-fsn	taj
da	Cs	da
je	Var3s	biti
vOda	Ncfsn	voda
u	Sa	u
knjAževac	Npmsan	knjaževac
.	Z	.

tOj	Pd-nsn	taj
imAlo	Vmp-sn	imati
bi	Vaa3s	biti
da	Cs	da
se	Px--sa	sebe
.	Z	.

plAća	Vmr3s	plaćati
.	Z	.

tAj	Pd-fsn	taj
vodA	Ncfsn	voda
.	Z	.

mOže	Vmr3s	moći
nEje	Var3s	biti
bObuk	Npmsan	bObuk
imAlo	Vmp-sn	imati
.	Z	.

nEgo	Cc	nego
tO	Pd-nsn	taj
je	Vcr3s	biti
sAmo	Rgp	samo
si	Px--sd	sebe
tAj	Pd-msn	taj
.	Z	.

vOda	Ncfsn	voda
štO	Pi3n	što
vI	Vaa3s	vi
prIčam	Vmr1s	pričati
.	Z	.

onO	Pd-nsa	onaj
kAmen	Ncmsn	kamen
.	Z	.

golEm	Agpmsnn	golem
.	Z	.

pa	Cc	pa
ovAk	Rgp	ovako
širIna	Ncfsn	širina
.	Z	.

pa	Cc	pa
nasEdamo	Vmr1p	nasedati
Okolota	Npfsn	Okolota
pa	Cc	pa
glEdamo	Vmr1p	gledati
.	Z	.

u	Sl	u
vodUtu	Npmsl	vodUt
.	Z	.

a	Cc	a
onO	Pd-nsn	onaj
pod	Sa	pod
j	Var3s	biti
je	Var3s	biti
nEki	Agpmsny	neki
kAmen	Ncmsn	kamen
.	Z	.

golEm	Agpmsnn	golem
kAmen	Ncmsn	kamen
.	Z	.

onO	Pd-nsn	onaj
gudIi	Pi-nsn	gudIi
.	Z	.

tAj	Pd-fsn	taj
vodA	Ncfsn	voda
.	Z	.

tAj	Pd-fsn	taj
vodA	Ncfsn	voda
da	Cs	da
je	Var3s	biti
u	Sa	u
vAroš	Ncmsan	varoš
.	Z	.

tOj	Pd-nsn	taj
bi	Vaa3s	biti
se	Px--sa	sebe
pAre	Ncfpn	para
uzImale	Vmp-pf	uzimati
na	Sa	na
tUj	Pd-fsa	taj
vOdu	Ncfsa	voda
.	Z	.

pa	Cc	pa
št/	Pi-nsn	št/
tI	Pp2-sn	ti
si	Var2s	biti
mi	Pp1-sd	ja
istU	Pp2-sn	istU
zEnu	Ncmsd	zen
sipAo	Vmp-sm	sipati
.	Z	.

morE	Vmr3s	moći
.	Z	.

lekovIta	Agpfsny	lekovit
li	Qq	li
.	Z	.

nejE	Npfsg	Neja
.	Z	.

ne	Qz	ne
znAm	Vmr1s	znati
da	Cs	da
je	Vcr3s	biti
.	Z	.

imAlo	Vmp-sn	imati
nekA	Pisn	neki
vodA	Ncfsn	voda
.	Z	.

tUj	Rgp	tu
.	Z	.

ne	Qz	ne
nE	Qz	ne
imAlo	Vmp-sn	imati
tUj	Rgp	tu
nesAm	Var1s	biti
.	Z	.

more	Vmr3s	moći
.	Z	.

ako	Cs	ako
nEje	Var3s	biti
imAlo	Vmp-sn	imati
.	Z	.

da	Cs	da
sprO	Ncnsn	spro
u	Sa	u
.	Z	.

u	Sa	u
selO	Ncnsa	selo
u	Sl	u
zAskovci	Ncfsl	zaskovka
.	Z	.

ako	Cs	ako
ne	Qz	ne
u	Sl	u
stranUlo	Ncfsl	stranula
imAlo	Vmp-sn	imati
.	Z	.

ali	Cc	ali
imA	Vmr3s	imati
nEćka	Vmr3s	nećkati
vodIca	Npfsn	vodIca
.	Z	.

kunOdi	Npmsn	Kunodi
cRkvutu	Ncfsa-t	crkva
.	Z	.

tUj	Rgp	tu
tUj	Rgp	tu
ali	Cc	ali
mAlečka	Ncfsn	malečka
.	Z	.

tOj	Pd-nsn	taj
vodIca	Npfsn	vodIca
.	Z	.

tUj	Rgp	tu
tUj	Rgp	tu
.	Z	.

tUj	Rgp	tu
je	Var3s	biti
imAlo	Vmp-sn	imati
ono	Pd-nsn	onaj
.	Z	.

i	Cc	i
u	Sl	u
tEmsku	Npmsl	tEmsko
j	Var3s	biti
i	Cc	i
.	Z	.

u	Sl	u
tEmsku	Npmsl	tEmsko
.	Z	.

u	Sl	u
tEmskuj	Ncfsl	temskua
Ima	Vmr3s	imati
.	Z	.

vodA	Ncfsn	voda
.	Z	.

ovAm	Rgp	ovamo
.	Z	.

kakO	Cs	kako
Ideš	Vmr2s	ići
u	Sl	u
tEmsku	Npmsl	tEmsko
.	Z	.

ka	Cs	kad
pogAm	Vmr1s	pogati
dEsna	Agpfsny	desni
stranA	Ncfsn	strana
.	Z	.

ka	Cs	kad
nAs	Pp1-pa	mi
.	Z	.

tUj	Rgp	tu
tUj	Rgp	tu
tUj	Rgp	tu
Ima	Vmr3s	imati
.	Z	.

ne	Qz	ne
mOg	Vmr1s	moći
se	Px--sa	sebe
sEtim	Vmr1s	setiti
i	Cc	i
jA	Pp1-sn	ja
već	Rgp	već
.	Z	.

vIdi	Vmr3s	videti
.	Z	.

jA	Pp1-sn	ja
jedanpUt	Rgp	jedanput
Ido	Vma1s	ići
.	Z	.

ne	Qz	ne
znAm	Vmr1s	znati
kojA	Pisn	koji
me	Pp1-sa	ja
odvEde	Vmr3s	odvesti
jA	Pp1-sn	ja
nEsam	Var1s	biti
znAla	Vmp-sf	znati
.	Z	.

ta	Cs	da
si	Px--sd	sebe
mi	Pp1-sd	ja
u	Sa	u
Oči	Ncnpn	oko
.	Z	.

onO	Pd-nsa	onaj
natUrano	Agpnsny	naturan
cvEće	Ncnsn	cveće
navrljAno	Agpnsny	navrljaan
.	Z	.

pAra	Vmr3s	parati
.	Z	.

peš1irje	Qr	peš1irje
.	Z	.

tUj	Rgp	tu
.	Z	.

vodA	Ncfsn	voda
tOj	Pd-nsn	taj
le	I	le
.	Z	.

lekA	Npmsn	Leka
.	Z	.

p	Cc	pa
onO	Pd-nsn	onaj
.	Z	.

tekvOj	Qr	tekvOj
.	Z	.

kakO	Cs	kako
se	Px--sa	sebe
radElo	Vmp-sn	raditi
.	Z	.

đAci	Ncmpn	đak
u	Sa	u
škOlu	Ncfsa	škola
.	Z	.

vOde	Vmr3p	voditi
.	Z	.

po	Sa	po
putIšta	Ncnpa	putište
.	Z	.

na	Sa	na
.	Z	.

učItelj	Ncmsn	učitelj
sas	Si	sa
njI	Pp3-pa	oni
.	Z	.

vOde	Ncfsg	voda
jOj	I	joj
.	Z	.

i	Cc	i
pojU	Vmr3p	pojati
.	Z	.

i	Cc	i
nOse	Vmr3p	nositi
.	Z	.

kAžu	Vmr3p	kazati
krstAšu	Ncmsd	krstaš
.	Z	.

nOse	Vmr3p	nositi
.	Z	.

kao	Cs	kao
lItije	Ncfpn	litija
.	Z	.

gaa	Rgp	gaa
Oni	Pp3mpn	oni
g	X	g
zOvu	Vmr3p	zvati
.	Z	.

kao	Cs	kao
litIje	Ncfpn	litija
i	Cc	i
nOse	Vmr3p	nositi
pojU	Vmr3p	pojati
.	Z	.

el	Qq	jel
pOjdu	Vcr3s	pojdbiti
iz	Sg	iz
ćuštIcu	Npfsa	ćuštIca
.	Z	.

iz	Sg	iz
ćuštIcu	Npfsa	ćuštIca
pa	Cc	pa
u	Sa	u
tOpli	Agpmsayn	topao
dOl	Ncmsan	dol
.	Z	.

da	Cs	da
nOse	Vmr3p	nositi
đAci	Ncmpn	đak
tOj	Pd-nsn	taj
.	Z	.

nOse	Vmr3p	nositi
krstIce	Ncfpa	krstica
da	Cs	da
.	Z	.

pAdne	Vmr3s	pasti
kIša	Ncfsn	kiša
.	Z	.

a	Cc	a
?	Z	?
.	Z	.

pa	Cc	pa
nOse	Vmr3p	nositi
el	Qq	jel
u	Sl	u
tEmsku	Npmsl	tEmsko
pOjdu	Npmsl	pOjd
iz	Sg	iz
tEmsku	Pd-nsa	tEmsku
.	Z	.

pa	Cc	pa
u	Sa	u
tOpli	Agpmsayn	topao
dOl	Rgp	dole
mOže	Vmr3s	moći
tO	Pd-nsn	taj
ne	Qz	ne
znAš	Vmr2s	znati
.	Z	.

ne	Qz	ne
znAe	Vmr3s	znati
ovAj	Pd-msn	ovaj
.	Z	.

bIli	Vmp-pm	biti
.	Z	.

el	Qq	jel
.	Z	.

odOtle	Rgp	odande
pa	Cc	pa
nOse	Vmr3p	nositi
u	Sa	u
ćuštIcu	Npfsa	ćuštIca
el	Qq	jel
.	Z	.

ćak	Npmsn	ćak
po	Sl	po
mIrkovci	Npmpn	mIrkovac
su	Var3p	biti
nosIli	Vmp-pm	nositi
.	Z	.

đAci	Ncmpn	đak
.	Z	.

i	Cc	i
mOle	Vmr3p	moliti
bOgata	Agpfsny	bogat
da	Cs	da
pAdne	Vmr3s	pasti
ćIša	Ncmsay	Ćiš
.	Z	.

đAci	Ncmpn	đak
.	Z	.

pa	Cc	pa
na	Sa	na
.	Z	.

da	Cs	da
pAdne	Vmr3s	pasti
qiša	Ncmsay	qiš
((laugh))	X	((laugh))
.	Z	.

i	Cc	i
onO	Pd-nsn	onaj
nEki	Pi-msn	neki
pUt	Ncmsn	put
se	Px--sa	sebe
potrEvi	Vmp-sn	potreti
.	Z	.

potrEvi	Vmp-sn	potreti
se	Px--sa	sebe
ta	Pdsn	taj
.	Z	.

pAdne	Vmr3s	pasti
ćIša	Npmsn	ćIša
.	Z	.

đAci	Ncmpn	đak
is/	X	is/
ispojAli	Vmp-pm	ispojati
tO	Pd-nsn	taj
.	Z	.

ne	Qz	ne
.	Z	.

tOj	Pd-nsn	taj
ne	Qz	ne
znAm	Vmr1s	znati
.	Z	.

kad	Cs	kad
bUde	Vcr3s	biti
grOm	Ncmsn	grom
.	Z	.

Uznu	Vmr3p	uzeti
sekIru	Ncfsa	sekira
.	Z	.

pa	Cc	pa
rEzat	Ncmsn-t	rez
.	Z	.

obRnu	Vmr3p	obrnuti
na	Sa	na
gOre	Rgp	gore
.	Z	.

da	Cs	da
da	Cs	da
vAde	Vmr3p	vaditi
onIja	Pdsan	onaj
rEz	Ncmsan	rez
.	Z	.

onOj	Pd-nsn	onaj
Opasno	Rgp	opasno
.	Z	.

Ona	Pp3fsn	on
se	Px--sa	sebe
smEje	Vmr3s	smejati
.	Z	.

Ona	Pp3fsn	on
se	Px--sd	sebe
smejEta	Ncfpn	smejeta
jA	Pp1-sn	ja
ne	Qz	ne
mOgu	Vmr1s	moći
je	Vcr3s	biti
poglEdam	Vmr1s	pogledati
u	Sl	u
njU	Npmsl	nj
.	Z	.

Ona	Pp3fsn	on
smEšna	Agpfsny	smešan
.	Z	.

i	Cc	i
